gene_id,longest_refseq_transcript_id,longest_refseq_length,longest_ucsc_transcript_id,longest_ucsc_length
LOC101929309,NR_187689.1,2028,NR_187689.1,2028
ASPRV1,NR_170375.1,153557,NR_170375.1,153557
GNRHR,NM_000406.3,17271,NM_000406.3,17271
LOC124902963,XR_007063365.1,6588,XR_007063365.1,6588
USP37,NM_020935.3,118101,NM_020935.3,118101
PTCHD1-AS,NR_073010.2,1100142,NR_073010.2,1100142
LOC101929577,NR_125928.1,19162,NR_125928.1,19162
NKX2-2,NM_001424412.1,11673,NM_001424412.1,11673
LOC107984480,XR_001749179.1,1188,XR_001749179.1,1188
LOC105375671,XR_007061033.1,1457,XR_007061033.1,1457
MAP2K4P1,NR_029423.1,38811,NR_029423.1,38811
EFCAB6-DT,NR_186822.1,5481,NR_186820.1,5481
SIRPG,XM_011529286.3,57304,XM_011529286.3,57304
LOC105371378,XR_001752293.2,15667,XR_001752293.2,15667
LOC107985173,XR_007066289.1,122834,XR_007066289.1,122834
LOC105377030,XR_940722.2,8459,XR_940722.2,8459
LOC124904373,XR_007066490.1,104,XR_007066490.1,104
RNASE12,NM_001024822.4,1304,NM_001024822.4,1304
TACR2,NM_001057.3,13016,NM_001057.3,13016
MIR1827,NR_031728.1,66,NR_031728.1,66
COL8A2,NM_001294347.2,29984,NM_005202.4,29984
TSKU-AS1,NR_120562.1,482,NR_120561.1,482
LOC105372747,XR_937607.3,24186,XR_937607.3,24186
SNORD115-46,NR_047033.1,71,NR_047033.1,71
ZNF737,XM_006722597.5,35506,XM_006722597.5,35506
LOC105370600,XR_944089.3,27526,XR_944089.3,27526
LOC105375156,XR_001745093.2,21861,XR_001745093.2,21861
LOC100131107,NR_172723.1,1251,NR_172723.1,1251
CD72,XM_047424154.1,36876,XM_047424154.1,36876
TNFRSF1B,XM_011542060.3,42230,NM_001066.3,42230
LOC107984635,XR_001751025.2,2719,XR_001751025.2,2719
TXLNGY,NR_045128.1,39813,NR_045128.1,39813
LOC105372295,XR_936359.3,6265,XR_936360.3,6265
PCDHA9,NM_031857.2,163966,NM_031857.2,163966
MIR4784,NR_039945.1,77,NR_039945.1,77
NDP-AS1,NR_046631.1,21821,NR_046631.1,21821
LOC101927026,NR_188389.1,51795,NR_188390.1,51795
ZNF564,NM_144976.4,26110,NM_144976.4,26110
PCDHGB3,NM_018924.5,142734,NM_018924.5,142734
LOC124901890,XR_007060831.1,15937,XR_007060831.1,15937
LINC01762,NR_125972.1,55103,NR_125972.1,55103
TPM1,NR_176344.1,29169,NM_001018004.2,29169
SLC12A9-AS1,NR_146550.1,15301,NR_146550.1,15301
YKT6,NM_001410874.1,13317,NM_001363678.2,13317
LOC100128993,NR_038919.1,61849,NR_038919.1,61849
LYZ,NM_000239.3,5854,NM_000239.3,5854
NINL,NM_001318226.2,132835,XM_047440019.1,132835
NAXE,NM_144772.3,2524,NM_144772.3,2524
OLFML2B,NM_015441.3,40678,NM_001347700.2,40678
LOC105377113,XR_007095936.1,70563,XR_007095936.1,70563
LOC107986379,XR_001742506.2,17043,XR_001742506.2,17043
CSRNP1,XM_047448723.1,12787,NM_001320560.2,12787
STX1A,NM_001165903.2,20460,NM_004603.4,20460
LOC101928502,XR_243488.4,5520,XR_243488.4,5520
MIR4458,NR_039663.1,75,NR_039663.1,75
KRTAP5-11,NM_001005405.3,1021,NM_001005405.3,1021
CIP2A,XM_006713716.4,39575,NM_020890.3,39575
LOC124906185,XR_007088769.1,101,XR_007088769.1,101
TUBB1,XM_017028085.2,10217,XM_017028085.2,10217
LINC02598,NR_170217.1,4194,NR_170218.1,4194
CFAP44-AS1,NR_046728.1,29995,NR_046728.1,29995
ZNF623,NM_001261843.2,17712,NM_001261843.2,17712
DOCK6,NM_020812.4,63230,XM_011528150.2,63230
LOC124903173,XM_047430824.1,2423,XM_047430824.1,2423
LOC107983976,XR_931032.3,11081,XR_931032.3,11081
PSMC2,NM_002803.4,21753,NM_002803.4,21753
LOC124904522,XR_007066895.1,5803,XR_007066895.1,5803
PAK6-AS1,NR_168270.1,2296,NR_168270.1,2296
LOC105370328,XR_931670.4,77599,XR_931670.4,77599
LOC124902640,XR_007062608.1,8907,XR_007062608.1,8907
CCNYL4,NR_024524.1,38675,NR_024524.1,38675
HSD17B2-AS1,XR_933797.3,22431,XR_007065140.1,22431
LOC107986141,XR_001740958.1,46871,XR_001740958.1,46871
HOXA7,NM_006896.4,2960,NM_006896.4,2960
LINC01040,NR_131228.1,22903,NR_131228.1,22903
KCNMB1,NM_004137.4,14697,NM_004137.4,14697
LOC124901305,XR_007059550.1,1934,XR_007059550.1,1934
B3GALT5-AS1,NR_026542.1,15676,NR_026542.1,15676
LOC124903394,XR_007064360.1,1235,XR_007064360.1,1235
LOC105369625,XR_001748978.2,71439,XR_001748979.2,71439
LOC124901143,XR_007059071.1,1369,XR_007059071.1,1369
C1QTNF8,XR_001751901.1,8081,XR_001751901.1,8081
FAAP100,XM_047436848.1,13243,XM_047436848.1,13243
CUTALP,NR_152406.1,11299,NR_152405.1,11299
SCARNA1,NR_002997.1,166,NR_002997.1,166
LOC105372980,XR_938123.4,5643,XR_938123.4,5643
ARIH2OS,NR_161301.1,1598,NR_161301.1,1598
MIR4295,NR_036177.1,85,NR_036177.1,85
LOC124900602,XR_007058466.1,44628,XR_007058466.1,44628
NIPA1,NM_001142275.1,43565,NM_001142275.1,43580
TMEM161A,NM_017814.3,19310,XM_047439023.1,19310
SLC6A17,NM_001010898.4,51709,NM_001010898.4,51709
MRGPRX3,NM_054031.4,17534,NM_054031.4,17534
PFDN1,NM_002622.5,58067,NM_002622.5,58067
CD101,XM_047434715.1,34793,NM_001256111.3,34793
IDH2-DT,NR_149130.1,31441,NR_149130.1,31441
LOC124906342,XR_007096298.1,66,XR_007096298.1,66
HIRA,NM_003325.4,101036,NM_003325.4,101036
LOC105379052,XR_001742775.2,11790,XR_001742775.2,11790
LGALS7,NM_002307.4,2550,NM_002307.4,2550
ABCF1,NM_001025091.2,20081,NM_001090.3,20081
LOC105377161,XR_940962.3,134312,XR_940962.3,134312
LOC112268081,XR_002957264.2,14983,XR_002957264.2,14983
WDR48,NR_144401.2,44649,NM_001303402.2,44649
LOC107984734,XR_001751739.2,1311,XR_001751739.2,1311
OR4K5,NM_001005483.1,972,NM_001005483.1,972
CYP11B2,NM_000498.3,7285,NM_000498.3,7285
MAL-AS1,XR_007087136.1,23927,XR_007087136.1,23927
LOC124903624,XR_007064939.1,6099,XR_007064939.1,6099
PLXDC2,NM_032812.9,473425,NM_001282736.2,473425
LRRC4,XM_011516461.4,5058,XM_011516461.4,5058
DDX10,NM_004398.4,275859,NM_004398.4,275859
TMEM191A,NR_026815.1,3490,NR_026815.1,3490
NPIPB4,NM_001384979.1,23175,NM_001384982.1,23175
LINC02902,NR_171030.1,6405,NR_171030.1,6405
LOC105371083,NR_135174.1,3404,NR_135174.1,3404
LOC107986040,XR_001740550.1,2236,XR_001740550.1,2236
ST8SIA6-AS1,NR_034129.1,21351,NR_034129.1,21351
FAM88C,NR_126048.2,2390,NR_126048.2,2390
LOC124909493,XR_007096274.1,6183,XR_007096274.1,6183
LOC107986560,XR_001743934.1,27388,XR_001743934.1,27388
FAM25G,NM_001137549.2,4482,NM_001137549.2,4482
MIR210HG,NR_038262.1,2801,NR_038262.1,2801
CCDC177,NM_001271507.2,5073,NM_001271507.2,5073
MKRN9P,NR_033410.1,1827,NR_033410.1,1827
RNU5F-1,NR_002753.5,116,NR_002753.5,116
SNORD59A,NR_002737.1,75,NR_002737.1,75
OR6C4,NM_001005494.2,6231,NM_001385975.1,6231
TAF11L8,NM_001401681.1,597,NM_001401681.1,597
ATP5MG,NR_033759.2,8242,NM_006476.5,8242
LOC124901815,XR_007060646.1,60048,XR_007060646.1,60048
LINC02199,NR_109932.1,41794,NR_109932.1,41794
LOC105372717,XR_936988.4,17532,XR_936989.4,17532
SLC25A47,NM_001350877.2,7083,NM_207117.4,7083
LOC105375245,XR_927196.3,57295,XR_927196.3,57295
EML4,XM_047443953.1,163196,NM_001145076.3,163196
GNAS-AS1,NR_185849.1,31985,NR_002785.3,31985
LOC107984788,XR_001751592.3,34565,XR_001751592.3,34565
LINC02167,NR_033985.1,10073,NR_033985.1,10073
RPL39L,NM_052969.3,18549,NM_052969.3,18549
LOC124903385,XR_007064339.1,2550,XR_007064339.1,2550
SNORD113-9,NR_003237.1,71,NR_003237.1,71
LINC01487,NR_125399.1,2180,NR_125399.1,2180
LOC124904632,XR_007067128.1,8561,XR_007067128.1,8561
SLC16A11,NM_001370549.1,2472,NM_153357.3,2472
STEAP3-AS1,NR_046721.1,4650,NR_046721.1,4650
MIR4489,NR_039709.1,62,NR_039709.1,62
ELK4,NM_001973.4,24069,NM_001973.4,24069
C1orf50,NR_040733.2,12243,NM_024097.4,12243
LOC105370265,XR_001749923.2,94000,XR_001749923.2,94000
SNORA74C-2,NR_145778.2,204,NR_145778.2,204
CUL2,XM_011519745.2,118456,XM_011519745.2,118456
DHCR24,NM_014762.4,37569,NM_014762.4,37569
USP13,NM_003940.3,136362,XM_047449154.1,136362
MIR6779,NR_106837.1,64,NR_106837.1,64
SEBOX,NM_001080837.4,1694,NM_001080837.4,1694
LOC105378807,XR_001738108.2,2139,XR_001738108.2,2139
PPP4R2,NM_001318026.2,72456,NM_001318026.2,72456
MIR3165,NR_036123.1,75,NR_036123.1,75
LOC124906137,XR_007088705.1,61,XR_007088705.1,61
ETHE1,NM_001320869.2,20483,XM_005258687.5,20483
TMEM161B-DT,NR_039993.1,167793,NR_039995.1,167793
LOC124902702,XR_007062754.1,4487,XR_007062754.1,4487
ADORA2A,NM_001278500.2,18761,NM_001278500.2,18761
MIR4765,NR_039922.1,77,NR_039922.1,77
FOXRED1,NR_037648.2,8973,NM_001425173.1,8973
LOC105369608,XR_931557.4,36272,XR_931557.4,36272
SCAMP1-AS1,NR_105014.1,1778,NR_105014.1,1778
TBXAS1,NM_001130966.5,242052,NM_001166254.4,242052
NSUN7,NM_024677.6,61230,XM_047416175.1,61230
CATSPERD,XM_011527885.4,58098,XM_017026565.2,58098
PLCXD2-AS1,NR_046733.1,1168,NR_046733.1,1168
TIPIN,NM_001398285.1,50527,NM_001398283.1,50527
LOC107984179,XR_001747298.2,12083,XR_001747298.2,12083
MIR6839,NR_106898.1,113,NR_106898.1,113
CABLES1,NR_023359.2,125907,NM_001256438.1,125907
LOC105370292,XR_001750064.2,3325,XR_001750064.2,3325
LOC124901367,XR_007059694.1,8594,XR_007059694.1,8594
ZNF256,NM_001375403.1,6874,NM_005773.3,6874
CD163L1,XR_931282.3,125386,XR_007063067.1,125386
FUBP1,XR_007064840.1,35447,XM_047433488.1,35447
LOC105372338,XR_936486.2,8967,XR_001753885.2,8967
WDR25,NM_001350947.2,153819,NM_001387351.1,153819
MINDY4,NM_032222.3,120971,NM_032222.3,120971
LOC124907868,XR_007087189.1,4006,XR_007087189.1,4006
LOC105373027,XR_938249.3,1727,XR_938249.3,1727
LOC101929485,XR_007095992.1,254397,XR_007095992.1,254397
GJB1,NM_001097642.3,10278,NM_001097642.3,10278
TMEM240,NM_001114748.2,5847,NM_001114748.2,5847
CHN2,XM_011515105.3,367738,NM_001398427.1,367738
LINC00891,NR_034005.1,6211,NR_034005.1,6211
HDAC7,XM_047428980.1,38623,XM_047428980.1,38623
C19orf84,NR_126530.2,2303,NM_001193623.2,2303
LOC105375850,XR_928912.3,1458,XR_928912.3,1458
COLEC12,XM_011525741.3,183965,NM_130386.3,183965
DLG2-AS2,NR_187249.1,87698,NR_187249.1,87698
MIR598,NR_030328.1,97,NR_030328.1,97
LOC105375709,XR_928544.3,944,XR_928544.3,944
LOC124902078,XR_007061203.1,145,XR_007061203.1,145
GTF3C2-AS1,NR_038427.1,2262,NR_038427.1,2262
SNUPN,NM_001042581.2,28376,NM_001042581.2,28376
LOC124901480,XR_007059904.1,1272,XR_007059904.1,1272
SMARCD2,NM_001098426.2,10605,NM_001098426.2,10605
DNAJB9,NM_012328.3,4977,NM_012328.3,4977
CEBPZOS,XR_007068206.1,19698,XR_007068209.1,19698
CYB561,NM_001017916.2,14336,NM_001017916.2,14336
LOC105371480,XR_001753073.3,3657,XR_001753073.3,3657
UCP3,XR_007062495.1,8809,XM_047427519.1,8809
AMIGO1,XM_011541812.3,5550,NM_020703.4,5550
SNHG16,NR_038108.1,7585,NR_038111.1,7585
KRTAP20-2,NM_181616.3,414,NM_181616.3,414
LINC02424,NR_135021.1,33067,NR_135021.1,33067
LOC105371240,NR_188470.1,124894,NR_188470.1,124894
AFTPH,NR_164746.1,68678,NM_001394996.1,68678
GCSAML-AS1,NR_027309.2,6126,NR_027309.2,6126
MPZ,XM_017001321.3,6369,XM_017001321.3,6369
SUMF1,XM_017006254.3,432784,XM_017006254.3,432784
PARP10,XM_011517336.4,35607,XM_047422327.1,35607
LOC101927474,XR_007068123.1,1203,XR_007068123.1,1203
LOC107986876,NR_160769.1,1868,NR_160769.1,1868
MDFIC2,NM_001364677.1,118160,NM_001364676.1,118160
TAS2R42,NM_181429.2,945,NM_181429.2,945
LOC105378819,XR_947544.4,5603,XR_947544.4,5603
LOC105378882,XR_947659.2,4440,XR_947659.2,4440
WDR54,NM_001320824.2,4026,NM_001320823.2,4026
LINC01821,NR_110222.1,75363,NR_110222.1,75363
CRAT37,NR_110106.1,31512,NR_110106.1,31512
MBL2,NM_001378373.1,7405,NM_001378374.1,7405
LOC124905238,XR_007068370.1,453,XR_007068370.1,453
TMEM192,XM_011531718.4,42253,NM_001100389.2,42253
LOC105371589,XR_007065665.1,7707,XR_934332.3,7707
DTX3,XM_047428480.1,4979,NM_001286245.2,4979
CKLF,NM_181641.2,13725,NM_016326.3,13725
ZNF473CR,NR_138096.1,24995,NR_138096.1,24995
IPO5,XM_024449346.2,70622,XM_005254052.4,70622
LOC124902081,XR_007061212.1,104,XR_007061212.1,104
LOC124904316,XR_007066399.1,4189,XR_007066399.1,4189
LOC124906269,XR_007096010.1,277601,XR_007096010.1,277601
OR4F13P,NR_046417.1,8206,NR_046417.1,8206
LZTS2,NM_001394952.1,11246,NM_001394948.1,11246
TOX4,NM_014828.4,21976,NM_001303523.2,21976
GOLGA4-AS1,NR_149029.1,2405,NR_149029.1,2405
PMEPA1,NM_199171.3,63077,NM_199171.3,63077
GRAMD2A,NM_001012642.3,37982,NM_001012642.3,37982
LOC105375130,XR_007060191.1,23909,XR_007060191.1,23909
YARS2,NM_001040436.3,9354,NM_001040436.3,9354
CCDC195,NM_001395236.1,12602,NM_001395236.1,12602
ND4L,unassigned_transcript_4810,297,YP_003024034.1,297
TOR1AIP1,NM_001267578.2,37792,NM_015602.4,37792
TENT5D,NM_001170574.2,109806,NM_001170574.2,109806
HECA,NM_016217.3,45723,NM_016217.3,45723
IER5L,NM_203434.3,2710,NM_203434.3,2710
LINC01645,NR_126001.1,14873,NR_126001.1,14873
LOC124900264,XR_007061202.1,131,XR_007061202.1,131
NTRK2,XM_017014751.3,358533,NM_001369533.1,358533
LOC105376217,XR_007061726.1,4816,XR_007061726.1,4816
L2HGDH,NM_001425212.1,69796,NM_001425215.1,69796
LOC124901264,XR_007059462.1,403,XR_007059462.1,403
G0S2,NM_015714.4,979,NM_015714.4,979
SRSF3,NR_036610.2,11239,NM_003017.5,11239
ELN,XM_011515868.3,41735,XM_047419975.1,41735
LIPT2,NM_001329942.2,3206,NM_001329941.2,3206
HMG20A,XM_011521158.4,99163,XM_011521158.4,99163
LOC105377777,NR_160729.1,4056,NR_160729.1,4056
CLEC4D,XM_047428772.1,18194,XM_047428771.1,18194
LOC102723533,XR_927259.2,7657,XR_927259.2,7657
ZNF76,XM_017011249.3,36453,XM_017011256.2,36453
TSGA13,NM_001304968.2,18790,NM_001304968.2,18790
LOC105379544,XR_001756145.1,1950,XR_001756145.1,1950
CRNDE,NR_034105.4,10024,NR_034106.3,10024
SGCG,NM_001378244.1,164655,XM_047430542.1,164655
ZNF701,XM_047439071.1,27910,XM_047439073.1,27910
CYB561A3,XM_011544821.3,13539,XM_047426555.1,13539
RTEL1,NM_001283010.1,38444,NM_001283010.1,38444
LINC02909,NR_171024.1,4042,NR_171024.1,4042
LOC105370117,XR_941756.2,25933,XR_941756.2,25933
PIERCE2,NM_001198784.2,10304,NM_001198784.2,10304
CYB5D1,NM_144607.6,4280,NM_001330110.2,4280
LOC107985358,XR_001738517.1,1429,XR_001738517.1,1429
RNF216-IT1,NR_046834.1,18030,NR_046834.1,18030
MIR6757,NR_106815.1,69,NR_106815.1,69
HSD17B3-AS1,NR_146524.1,3799,NR_146524.1,3799
LOC124902178,XR_007061570.1,20254,XR_007061570.1,20254
LOC124903877,XR_007065541.1,9306,XR_007065541.1,9306
MGMT,NM_002412.5,303743,NM_002412.5,303743
METTL14-DT,NR_125930.1,21255,NR_125930.1,21255
MIR940,NR_030636.1,94,NR_030636.1,94
ATAD3B,XM_005244806.4,37702,XM_005244806.4,37702
NAGK,NM_001330426.2,11513,NM_001330426.2,11513
MYO1E,NM_004998.4,240438,NM_004998.4,240438
TEX264,NR_024012.3,33072,NM_001243727.3,33072
LOC105378881,XR_947658.1,16356,XR_947658.1,16356
MUS81,NR_146598.2,7221,NR_146598.2,7221
SNORD65,NR_003054.1,73,NR_003054.1,73
DOCK9-AS1,NR_046663.1,2546,NR_046663.1,2546
SEMA4F,XM_047442927.1,55467,XM_047442927.1,55467
FANK1-AS1,NR_102707.1,1086,NR_102707.1,1086
ITPR2,NM_001414174.1,497843,XM_047428801.1,497843
DNAAF5,NR_075098.2,59777,XM_024446813.2,59777
LOC124900660,XR_007058015.1,31530,XR_007058019.1,31530
LOC124906143,XR_007088715.1,127,XR_007088715.1,127
TM7SF3,XM_005253391.5,42806,XM_017019463.3,42806
FGD5,XM_011533422.2,123884,XM_047447515.1,123884
LOC124903451,XR_007064546.1,1390,XR_007064546.1,1390
LOC124905208,XR_007068307.1,4507,XR_007068307.1,4507
UACA,XM_017022395.2,124350,XM_017022395.2,124350
CKS2,NM_001827.3,5509,NM_001827.3,5509
MTFR2,XM_011535413.3,19278,NM_001099286.3,19278
RNF186,NM_019062.2,1255,NM_019062.2,1255
LOC124904078,XR_007065934.1,2950,XR_007065934.1,2950
ZNF20,NM_001203250.2,9001,NM_021143.4,9001
ADSS2,XM_047447585.1,43567,NM_001365073.2,43567
LINC02362,NR_125934.1,16746,NR_125933.1,16746
PLSCR3,NM_001369422.1,4799,NM_001369407.1,4799
RFX8,XM_011511771.3,77754,NM_001367509.1,77754
EPHX4,NM_173567.5,33554,NM_173567.5,33554
LOC105370505,XR_943880.4,1266,XR_943880.4,1266
LZTR1,NM_006767.4,16736,NM_006767.4,16736
GCNA,NM_052957.5,35147,NM_052957.5,35147
PRELID2,XR_007058586.1,606358,XR_007058586.1,606358
LOC124901262,XR_007059459.1,4969,XR_007059459.1,4969
CCR7,NM_001301714.2,11704,NM_001838.4,11704
LOC105378447,XR_946226.3,12266,XR_946226.3,12266
LOC105371711,XR_007065686.1,9000,XR_007065686.1,9000
MIR3185,NR_036150.1,68,NR_036150.1,68
B3GNT2,NM_006577.6,28617,NM_006577.6,28617
CDH8,NM_001796.5,389189,NM_001796.5,389189
LOC124902652,XR_007062633.1,8596,XR_007062633.1,8596
LOC105370301,XR_931624.1,66794,XR_931624.1,66794
GCNT7,NR_160308.1,34434,NR_160308.1,34434
LINC02231,NR_146276.1,71447,NR_146276.1,71447
NAIF1,XM_047422940.1,6088,NM_197956.4,6088
LOC107985304,XR_001753933.3,7527,XR_001753933.3,7527
LINC00261,NR_001558.3,18090,NR_001558.3,18090
MMP28,NR_111988.2,39393,XM_011525231.2,39393
COL24A1,NR_146340.2,427752,XM_047417005.1,427752
MIR19A,NR_029489.1,82,NR_029489.1,82
LOC107986759,XR_001745066.2,3215,XR_001745066.2,3215
DLGAP1,NM_001398527.1,959276,XM_024451288.2,959276
PANO1,XM_034751809.2,1567,XM_034751809.2,1567
SCN5A,NR_176299.1,101626,NM_001099404.2,101626
SLC9A9-AS1,NR_048544.1,4826,NR_048544.1,4826
SORCS2,XM_005247987.5,550290,NM_020777.3,550290
LOC124901652,XM_047421149.1,509,XM_047421149.1,509
LOC107986377,XR_001742503.2,57078,XR_001742503.2,57078
H1-2,NM_005319.4,731,NM_005319.4,731
SNORA119,NR_145807.2,144,NR_145807.2,144
KRTAP9-6,NM_001277331.1,483,XM_003846481.1,525
PSME2,NM_002818.3,3246,XM_006720213.3,3246
SATB2-AS1,NR_026830.1,4661,NR_026830.1,4661
TMEM39A,NR_073506.2,34667,NM_018266.3,34667
MAPK8IP1,NM_005456.4,20815,NM_005456.4,20815
ZC3H6,NM_198581.3,64463,XM_006712519.4,64463
C16orf89,XM_005255143.4,23185,XM_017022974.2,23185
LOC124902633,XR_007062596.1,1500,XR_007062596.1,1500
FAM241B,XM_005269606.3,3350,XM_005269608.4,3350
LOC107985980,XR_007088067.1,11659,XR_007088067.1,11659
BCS1L,XM_047445389.1,4701,XM_047445389.1,4701
DDX39B,NR_037852.2,11778,NM_004640.7,11778
LOC101927995,XR_001740628.2,96284,XR_001740627.2,96284
PDE4B,NM_001037341.2,582065,NM_001297440.2,582065
POLR3G,NM_001370354.1,40629,XM_047416635.1,40629
PLXND1,XM_011512589.2,51463,XM_011512588.3,51463
FABP6-AS1,XR_002956232.2,14375,XR_941148.3,14375
LOC105373985,XR_002959476.2,1161,XR_002959476.2,1161
LMNB1-DT,NR_134485.1,24524,NR_134485.1,24524
LOC124900276,XM_047424334.1,10903,XM_047424334.1,10903
SNORA25,NR_003028.1,134,NR_003028.1,134
LOC124900327,XR_007063630.1,134,XR_007063630.1,134
RPS6KB1,NR_161456.1,57454,NM_001369671.1,57454
SRRM2-AS1,NR_027275.1,15525,NR_027275.1,15525
LOC107984450,XR_007063520.1,4076,XR_007063520.1,4076
MIR4290HG,NR_038882.1,20846,NR_038882.1,20846
SHBG,NM_001289114.2,19309,NM_001289114.2,19309
LOC105378512,XR_946358.3,4243,XR_946358.3,4243
LOC105372061,XR_007066333.1,51352,XR_007066333.1,51352
SNORD3P3,NR_145983.1,130,NR_145983.1,130
GRIA4,XM_006718823.3,372475,XM_006718823.3,372475
SZT2,NM_001365999.1,64349,NM_015284.4,64349
LOC124904190,XR_007066111.1,5677,XR_007066111.1,5677
MSI1,XM_011538361.4,29503,XM_011538361.4,29503
C1QTNF3,NR_146599.1,226867,NR_146599.1,226867
MRM1,XR_934554.2,33116,XM_054329342.1,33145
LOC124904859,XR_007067500.1,3864,XR_007067500.1,3864
PLK1,NM_005030.6,11479,NM_005030.6,11479
BRME1,NM_001393647.1,23770,NM_001345843.2,23770
MIR548AO,NR_049801.1,96,NR_049801.1,96
UQCRFS1-DT,NR_184021.1,2563,NR_184022.1,2563
LOC105373929,NR_187951.1,30817,NR_187950.1,30817
RASL12,NM_001379429.1,23331,NM_001379429.1,23331
UBC,NM_021009.7,3005,NM_021009.7,3005
LOC124904419,XR_007066620.1,419,XR_007066620.1,419
PRKAB2,NR_103870.2,17365,XM_047424539.1,17365
LOC124901113,XR_007059000.1,5827,XR_007059000.1,5827
THAP7,NM_030573.3,3015,NM_030573.3,3015
LOC105371021,XR_007064777.1,2539,XR_007064777.1,2539
ZFP28,XM_011526463.4,19862,XM_011526463.4,19862
LOC105378766,XR_007066144.1,7624,XR_007066144.1,7624
LINC02650,NR_134317.1,4684,NR_134317.1,4684
LOC124901806,XR_007060631.1,1573,XR_007060631.1,1573
LOC105375863,XR_928934.3,2842,XR_928934.3,2842
LOC105369392,XR_950316.4,16728,XR_950316.4,16728
DMXL2,NR_165648.1,174981,NM_001378457.1,174981
LOC124907914,XR_007087328.1,8334,XR_007087328.1,8334
LOC107986292,XR_001741742.1,13541,XR_001741742.1,13541
LOC124904484,XR_007066793.1,30422,XR_007066793.1,30422
LOC105375554,XR_928094.2,50232,XR_928094.2,50232
NEIL1,NM_024608.4,10077,NM_001352520.2,10077
ZNF699,NM_198535.3,18699,NM_198535.3,18699
GTF2IRD1P1,NR_003934.2,34894,NR_003934.2,34894
IGSF9,NM_020789.4,18573,NM_001135050.2,18573
IZUMO3,NM_001365008.2,2946,NM_001365008.2,2946
LOC105371793,XR_934781.3,6079,XR_934781.3,6079
TPT1,NM_001286273.2,7713,NM_001286272.2,7713
LINC01290,NR_149081.1,13357,NR_149081.1,13357
SYNRG,XM_017024081.3,94612,NM_001405103.1,94612
SNORD116-29,NR_003360.1,85,NR_003360.1,85
LOC105377177,XR_940994.3,250124,XR_940993.3,250124
LINC01118,NR_034099.1,5993,NR_034099.1,5993
LOC107986293,XR_001741746.1,5987,XR_001741746.1,5987
FGGY-DT,XR_001738089.2,7255,XR_001738089.2,7255
GNAO1-AS1,NR_026889.1,1909,NR_026889.1,1909
LINC00470,NR_023927.1,91319,NR_023925.1,91319
CD2BP2,NM_006110.3,4536,NM_006110.3,4536
SNORD113-8,NR_003236.1,73,NR_003236.1,73
LOC102725148,XR_935615.3,28812,XR_935616.3,28812
LOC105378771,XR_947457.3,59685,XR_947457.3,59685
STARD7-AS1,NR_046322.1,34208,NR_046322.1,34208
LOC124900239,XR_007060654.1,71,XR_007060654.1,71
PTGES3L-AARSD1,NM_001136042.2,30003,NM_001136042.2,30003
LINC01736,NR_135116.1,4446,NR_135116.1,4446
LOC124905273,XR_007068437.1,104,XR_007068437.1,104
SCARNA9,NR_002569.2,353,NR_002569.2,353
LOC105378863,XR_947610.4,1227,XR_947610.4,1227
DMAC2L,NM_001382509.1,16442,NM_001382509.1,16442
CCDC168,XM_011521106.2,29706,NM_001146197.3,29706
LOC112267942,XR_002956243.1,19507,XR_002956243.1,19507
MIR7157,NR_106979.1,60,NR_106979.1,60
ADNP,XM_047440078.1,42520,XM_047440077.1,42520
LOC101927082,NR_125840.1,708,NR_125840.1,708
CHRD,XM_017007388.2,10686,XM_011513254.2,10686
AWAT1,NM_001013579.3,6005,NM_001013579.3,6005
RABGEF1P1,NR_111973.1,62103,NR_111973.1,62103
LINC01333,NR_105010.1,5872,NR_105010.1,5872
LOC105369685,XR_001749038.3,14684,XR_001749038.3,14684
LINC02727,NR_183637.1,1158,NR_183637.1,1158
TBRG1,NR_016021.2,13063,XM_005271709.5,13063
LOC105373299,XR_007068283.1,2238,XR_007068283.1,2238
LOC102724772,XR_929033.3,6177,XR_929035.3,6177
CNTN4,XM_017005783.2,959094,XM_006713004.5,959094
GUCY2C-AS1,NR_186173.1,70584,NR_186173.1,70584
SIRPD,NM_178460.3,23455,XM_047439887.1,23455
OR2AG1,NM_001004489.3,8539,NM_001004489.3,8539
LOC124901767,XR_007060579.1,2608,XR_007060579.1,2608
LOC124906177,XR_007088762.1,103,XR_007088762.1,103
LOC124900527,XR_007088720.1,123,XR_007088720.1,123
LINC01853,NR_183815.1,38124,NR_183816.1,38124
LOC107987033,XR_001746574.2,7771,XR_001746574.2,7771
LOC124909489,XR_007096254.1,123033,XR_007096256.1,123033
LOC105372356,XR_935899.3,13545,XR_935899.3,13545
MIR4650-2,NR_039794.1,76,NR_039794.1,76
LINC00898,NR_033377.1,10527,NR_033377.1,10527
ONECUT2,XM_047437947.1,55925,NM_004852.3,55925
ITGA6,XM_017004005.2,79124,NM_001316306.2,79124
LOC124909404,XR_007095994.1,10992,XR_007095994.1,10992
LOC124900448,XR_007067402.1,122,XR_007067402.1,122
SMYD4,NM_052928.3,50418,XM_024450560.2,50418
GATD1,NR_134867.2,10266,NM_001410955.1,10266
IGSF9B,NM_001277285.4,60531,NM_001277285.4,60531
EXOC1L,NM_001351574.3,17700,NM_001351575.3,17700
LOC107985984,XR_001739879.2,4664,XR_001739880.2,4664
MIR4265,NR_036223.1,99,NR_036223.1,99
